Nome,Código QR / Valor do Código de Barras,Quantidade,O Aviso Crítico de Nível de Quantidade Está Ativado?,Nível de Quantidade Crítica,Descrição,Campo Adicional,É Favorito?,Contagem de Uso,Criar Data,Data de Actualização,Grupos Relacionados,Tags Relacionadas
SCANNER KODAK I2900,1290004321,1,Falso,0,SCANNER DE MESA -  COLORIDA -  TAMANHO A4 -  DIGITALIZACAO DE BORDA DE LIVRO INTEGRADO -  RESOLUCAO OPTICA: 600 dpI -  VOLUME DIARIO ADF: ATE 10.000 FOLHAS -  TECNOLOGIA DE DIGITALIZACAO: CCD DUPLO -  CAPACIDADE ALIMENTADOR: 250 FOLHAS -  DETECCAO ULTRA-SONICA DE ALIMENTACAO DUPLA -  FORMATOS DE ARQUIVOS DE SAIDA: TIFF -  JPEG -  RTF -  BMP E PDF -  VISOR DE LCD -  CONECTIVIDADE: USB 2.0 -  MODELO: I2900 SCAnnEr -  MARCA: KODAK. (GARANTIA: 36 (TRINTA E SEIS) MESES ON-SITE A CONTAR DE 11-02-2016). (ACOMPANHA A SCANNER 1 (UM) ADAPTADOR -  INPUT: 100-240V -  OUTPUT: 24V -  MODELO: CAE060242 -  MARCA: CWT).,[Cod2Aud:2677],Falso,1,18.08.2023 19:05,04.09.2025 18:21,[6 andar],[Cartorio]
DESKTOP DELL OPTIPLEX 7070 INTEL CORE I5 -10500T (11 -14),1290005232,1,Falso,0,DESKTOP DELL OPTIPLEX 7070 INTEL CORE I5 -10500T WINDOWS 10 PRO SINGLE LANGUAGE 8 GB 1 DE 8 GB DDR4 MEMORIA SEM ECC BCC SSD DE 256GB PCIE NVME M.2 CLASSE 35 COM MOUSE OPTICO DELL MS 116 TECLADO ALFANUMERICO DE 107 TECLAS PADRAO PTBR E ADAPTADOR DISPLAY PORT PARA DVI,,Falso,0,18.08.2023 19:06,18.08.2023 19:06,,
MONITOR HP HP L190hb - 2-6,1290003096,1,Falso,0,MONITOR DE VIDEO COM TECNOLOGIA LCD -  TELA COM 19 POLEGADAS TFT DE MATRIZ ATIVA -  COLORIDO -  CAPACIDADE PLUG & PLAY -  ANGULO DE VISAO HORIZONTAL DE 160? -  ANGULO DE VISAO VERTICAL DE 150? -  DOT PITCH DE 0 - 3MM -  SUPORTE DE RESOLUCAO DE 1360x768 -  TEMPO DE RESPOSTA MAXIMA DE 8MS -  BRILHO DE NO MINIMO DE 250 CD-M2 -  POSSUI INTERFACE DE CONEXAO TIPO VGA-DVI -  POSSUI AJUSTE DE ALTURA NO MONITOR -  TENSAO: 100-240V -  FREQUENCIA: 50-60HZ -  CORRENTE: 0.8A -  MODELO: HP L190hb -  MARCA: HP. (GARANTIA: 36 (TRINTA E SEIS) MESES ON SITE A CONTAR DE 24-02-2011).,[Cod2Aud:3280],Falso,2,18.08.2023 19:06,04.09.2025 17:42,[6 andar],[Cartorio]
GAVETEIRO 2 GAVETAS 1 PASTA SUSPENSA ARTLINE 17/21,1290003299,1,Falso,0,GAVETEIRO MESA (COM RODIZIOS) -  02 GAVETAS E 01 GAVETA DE PASTAS SUSPENSA -  EM LAMINADO MELAMINICO BAIXA PRESSAO (PB) -  PARTE INTERNA DAS GAVETAS EM ACO -  MEDINDO: L 420MM -  P 600MM -  H 740MM -  MARCA: ARTINE.,[Cod2Aud:3201],Falso,2,18.08.2023 19:06,27.08.2025 16:20,[7 andar],[Gabinete dos Ministros]
VEICULO TOYOTA COROLLA DHE7600,1290004853,1,Falso,0,VEICULO MARCA TOYOTA -  MODELO COROLLA GLI UPPER 1.8L FFV CVT -  ANO FAB. 2018 -  ANO MODELO 2019. MOTOR 4 TEMPOS -  16 VALVULAS. COMBUSTIVEL: ALCOOL-GASOLINA -  COM SISTEMA DE INJECAO ELETRONICA DE COMBUSTIVEL -  DIRECAO ELETRO ASSISTIDA -  144 CV -  4 CILINDROS -  4 PORTAS -  TRANSMISSAO AUTOMATICA -  TRACAO 2 RODAS -  1.798 CM3 -  6.000 RPM -  CAPACIDADE: 05 PASSAGEIROS -  COR: PRETO ECLIPSE METALICO -   NUMERO DE EIXOS: 2 -  DIST?NCIA ENTRE EIXOS: 2.700 -  NUMERO EIXO TRASEIRO: 0752437 -  NUMERO CAMBIO: 9518804089 -  NUMERO DO MOTOR: M596369 -  NUMERO DA CHAVE: D3U9P. EQUIPAMENTOS OBRIGATORIOS : 01 TRIANGULO  -  01 MACACO C-CABO -  01 CHAVE DE RODAS. NUMERO DO CHASSIS: 9BRBL3HE9K0175909 -  PLACA: DHE7600. PRAZO DE GARANTIA: 36 MESES,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,,
ESCRIVANINHA M�RMORE TRAVERTINO 1/2,1290003682,1,Falso,0,ESCRIVANINHA COM PAINEL BAIXO -  ESPECIAL-SPE 45640 -  MESA DE TRABALHO GRANDE COM TAMPOS LATERAIS DE 47MM DE ESPESSURA -  COM SUPERFICIE SUPERIOR EM MARMORE TRAVERTINO EMBUTIDO E PROTEGIDO POR UMA MOLDURA DE 50MM DE ESPESSURA EM TODO O PERIMETRO ENTRE A PEDRA E A MADEIRA -  COM ENCABECAMENTO DO MATERIAL -  ACABAMENTO E ESPESSURAS IGUAIS ?S LATERAIS. PAINEL FRONTAL COM FECHAMENTO ATE 300MM DO PISO E RECUADO DA BORADA FRONTAL PARA ACOMODACAO DAS PERNAS DO INTERLOCUTOR -  SAPATAS NIVELADORAS NOS PES LATERAIS -  MODELO: 5.527-FPB.,[Cod2Aud:3347],Falso,2,18.08.2023 19:06,28.08.2025 17:53,[6 andar],[Juiz Titular]
MONITOR HP W17E - 12 -12,1290004208,1,Falso,0,MONITOR DE VIDEO LCD -  COLORIDO -  TELA COM 17 POLEGADAS -  ?NGULO DE MOVIMENTACAO DO VISOR: -5? A 20? DE INCLINACAO VERTICAL -  TECNOLOGIA DO VISOR: MATRIZ ATIVA TFT -  CONTRAST RATIO: 500:1 -  DOT PITCH 0 - 25MM -  TEMPO DE RESPOSTAS: 8MS -  ?NGULO DE VISUALIZACAO DO VISOR: 140? NA HORIZONTAL E 130? NA VERTICAL -  LUMINOSIDADE DO VISOR: 250 NITS -  RESOLUCAO PREDEFINIDA: 1440 x 900 A 60Hz -  RESOLUCAO PREDEFINIDA ALTA: 1440 x 900 A 75Hz -  RESOLUCAO DIRECIONADA ALTA: 1440 x 900 A 75Hz -  PLUG & PLAY: VESA DDC2B -  TENSAO: 100-240V -  FREQUENCIA: 50-60HZ -  CORRENTE: 1.5A -  MODELO: w17E -  MARCA: HP. (GARANTIA: 36 (TRINTA E SEIS) MESES A CONTAR DE 06-01-2010).,[Cod2Aud:2627-2629],Falso,1,18.08.2023 19:06,22.08.2023 17:46,[Mezanino],[Deposito]
CP CF LEGISLACAO 2016 22 EDICAO- RICARDO VERGUEIRO,1290004382,1,Falso,0,CODIGO PENAL -  CONSTITUICAO FEDERAL E LEGISLACAO -  2016 -  22 EDICAO.,[Cod2Aud:1433],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[6 andar],[Armario 1290003457]
NOTEBOOK DATEN 2022 DCM4D-4 INTEL CORE I7 1165G7 (2-2),1290005368,1,Falso,0,NOTEBOOK COMPACTO DE ALTO DESEMPENHO UDP PORTATIL INTEL CORE I7 -1165G7 WIN10 PRO JUNTAMENTE COM MOUSE USB OPTICO PT 1000DPI DATEN DCM4D-4 INTEL CORE I7 1165G7 WIND10 PRO DATEN TECNOLOGIA LTDA,,Falso,1,18.08.2023 19:05,18.08.2023 19:05,[1 andar],[Informatica]
MONITOR HP 22MP55Y-B - 9 -17,1290004631,1,Falso,0,MONITOR DE VIDEO LCD FULL HD -  TELA DE 21 - 5 POLEGADAS -  DIAGONAL: 54 - 6CM -  ASPECTO DA TELA: 16:9 -  TEMPO DE RESPOSTAS: 8 MS -  RESOLUCAO: 1920 x 1080 (FULL HD) -  BRILHO: 250 CD-M? -  CONTRASTES: 1.000:1 (ESTATICO) E 5.000.000:1 (DIN?MICO) -  ?NGULOS DE VISAO (HxV): 178?x178? -  NUMERO DE CORES: 16 - 7 MILHOES -  CONECTORES: 1 (UM) DVI-D -  1 (UM) DISPLAY PORT -  1 (UM) AC -  1 (UM) VGA (D-SUB) -  TENSAO: 100-240V -  FREQUENCIA: 50-60HZ -  CORRENTE: 1.0A -  MODELO: 22MP55Y-B (V225hz) -  MARCA: HP. (GARANTIA: 48 (QUARENTA E OITO) MESES ON SITE A CONTAR DE 28 -12-2017).,[Cod2Aud:0000],Falso,0,18.08.2023 19:06,18.08.2023 19:06,,
POLTRONA FIXA GIROFLEX PRETA 24-81,1290002851,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO -  REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM DO LADO DIREITO DA FILEIRA -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  EM TUBO DE ACO -  BASE PREPARADA PRA SER FIXADA NO PISO -  PANEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO -  ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
MICROFONE TSI MMF 303 -2-10,1290003405,1,Falso,0,MICROFONE TSI MMF 303,[Cod2Aud:3174],Falso,1,18.08.2023 19:06,10.12.2024 15:59,[2 andar],[Sala Conselho Principal]
MESA DELTA PONTOCOM - 2 -16,1290003278,1,Falso,0,MESA DELTA TAMPO UNICO -  25MM DE ESPESSURA EM LAMINADO MELAMINICO BAIXA PRESSAO (PB) COM CALHA PARA FIACAO -  PAINEL FRONTAL 18MM -  MEDINDO: 1200 X 1200 X 600 X 600 X 740MM -  MARCA: PONTOCOM.,[Cod2Aud:3007],Falso,0,18.08.2023 19:06,18.08.2023 19:06,,
CURSO CPC 2019 VOL 1 DIDIER,1290004878,1,Falso,0,CURSO DE DIREITO PROCESSUAL CIVIL. AUTOR: FREDIE DIDIER JR.. VOLUME 1. 21A EDICAO -  2019. EDITORA JUSPODIVM.,[Cod2Aud:0000],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[6 andar],[Armario 1290003457]
APOIO PES STALO MDF - 18-22,1290004828,1,Falso,0,APOIO ERGONOMICO PARA OS PES -  MARCA STALO -  FABRICADO EM MDF -  ANTIDERRAPANTE -  PRETO,[Cod2Aud:0000],Falso,0,18.08.2023 19:07,18.08.2023 19:07,,
ARMARIO BAIXO 2 PORTAS CADERODE 1-2,1290004239,1,Falso,0,ARMARIO BAIXO COM 2 PORTAS DE ABRIR -  MEDINDO 900X500X740MM -  TAMPO EM MDP DE 25MM DE ESPESSURA -  COSTAS -  BASES E LATERAIS EM MDP DE 18MM DE ESPESSURA -  1 PRATELEIRA REGULAVEL EM MDP DE 25MM DE ESPESSURA -  PORTAS DE GIRO CONFECCIONADA EM MDP DE 18MM DE ESPESSURA -  FECHADURA COM 2 CHAVES ESCAMOTEAVEIS -  PUXADORES EM ALUMINIO DE 128MM -  COR CARVALHO AMETISTA-MALVA -  MARCA CADERODE.,[Cod2Aud:2634],Falso,1,18.08.2023 19:07,18.08.2023 19:07,[6 andar],[Paula]
